Claim Number;Loss Description;Claim Create Time;AI Loss Cause;AI Damaged Items;AI Place of Occurrence;AI Triage;AI Triage Reasoning;AI Prevailing Document;AI Section/Page Document;AI Coverage (applicable);AI Limit (applicable);AI Reasoning;AI Claim Prediction
HO10032272;Water Damage: TERESA SAID THAT THERE IS WORK BEING DONE ON THE BLOCK OF CONDO√¢‚Ç¨‚Ñ¢S THAT SHE OWNS. TERESA SAID THAT WHEN THE BUILDING WAS BUILT, IT WAS BUILT ON FLOORS UNDER 20 YEARS AGO AND THAT HAS CAUSED ROT ACROSS THE BLOCK OF CONDO√¢‚Ç¨‚Ñ¢S, WHICH ARE NOT BEING REBUILT.  TERESA SAID THAT THE WORK BEING DONE IS STRIPPING THE SHINGLES, WINDOWS AND THE BOARDS. TERESA SAID THAT THE ROT IS COMING FROM ALL OVER CONDO AND THE WORK IS BEING DONE AT THE OWNERS EXPENSE.  TERESA SAID THE ROT IS CAUSED DUE TO THE RAIN, AS SOME AREAS NEVER DRIED.;2024-03-15T15:59:28.272000;water damage;roof shingles, windows, wooden boards;condominium building exterior;TRUE;The claim description adequately articulates the issue of water damage attributed to rot, primarily caused by prolonged exposure to rain, as indicated by the statement that some areas 'never dried.' It mentions significant ongoing work involving the removal of shingles, windows, and boards, highlighting the extent of the damage. The consistent references to multiple areas affected by rot throughout the condos confirm both the source of water and the nature of the damage presented. Therefore, the description fulfills the necessary criteria to advance with the claim processing.;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf, HO0539-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9, HO0539-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 3, HO0539-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 1;;0;This claim is Excluded under Section I ñ Exclusions of the HO 00 06 05 11 Homeowners 6 Unit-Owners Form, which in Peril 12.b.(5) (page 9) bars loss ìcaused by mold, fungus or wet rot unless hidden within the walls or ceilings or beneath the floors or above the ceilings of a structure,î and under Exclusion 10 of the HO 05 39 05 11 Limited Fungi, Wet or Dry Rot, or Bacteria Coverage ñ Massachusetts endorsement (page 3), which excludes wet or dry rot unless directly resulting from a covered peril such as fire or lightning. Moreover, the endorsementís Additional Coverage (Section I.C.13.b, page 1) applies only when rot loss ìresults from a Peril Insured Againstî during the policy period, and no sudden covered peril has been alleged here.;FALSE
HO10032310;Water Damage: Johnson said that she had her kitchen and ceiling re-done. She mentioned there is a separation between the dry board and the ceiling and she mentioned it keeps opening and now there are 3 spots.;2024-03-18T13:47:03.977000;water damage;drywall, ceiling;kitchen;FALSE;The claim description indicates water damage resulting from a separation between the dry board and the ceiling, with three visible spots mentioned. However, the description does not provide critical details regarding the source of this water damage, such as whether it's due to a leak, flooding, or another incident. Without identifying the source of the water and the complete extent and specifics of the damages beyond the mention of separation in the drywall and ceiling, the information is insufficient to proceed with the claim.;;;;;;
HO10032331;Water Damage due to Plumbing System: Ball mentioned that a pipe broke and there was water damage to the kitchen ceiling, cabinets and walls. They had to take part of the ceiling down to get to the pipe. The amount of ceiling broken down or taken out is unknown. The water ran into the unfinished basement but nothing seems to be damaged on the basement.;2024-03-19T14:33:29.124000;water damage due to plumbing system;kitchen ceiling, kitchen cabinets, kitchen walls;kitchen;TRUE;The description of the claim indicates that a broken pipe caused water damage, specifically affecting the kitchen ceiling, cabinets, and walls, which satisfies the requirement for identifying both the source of water and the damaged areas. The insured also noted that part of the ceiling had to be taken down to access the pipe, indicating significant damage. While the water did flow into the unfinished basement, no damage was reported there, which does not detract from the validity of the claim in relation to the areas of actual damage.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 11, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 3;Coverage A;447773;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $447,773 under the HO 00 03 05 11 Homeowners 3 Special Form. Section I ñ Perils Insured Against, Peril 12 ìAccidental Discharge or Overflow of Water or Steamî (page 11) insures a sudden and accidental discharge of water from within a plumbing system. Section I ñ Property Coverages, Exception to c.(6) (page 10) expressly provides coverage for the cost to tear out and replace any part of the buildingóincluding the kitchen ceilingóto access and repair the plumbing system. Moreover, Section I ñ Exclusion A.3.d (page 11) confirms that the Water exclusion does not apply to losses covered under Peril 12, ensuring no bar to coverage for this interior plumbing leak.;TRUE
HO10032333;Water Damages due to Appliance Failure: Mitshubishi split unit that provides heat and ac stopped working this week end . The tech advised that id needs a new control board estimate aprx3059.00;2024-03-19T14:48:46.197000;water damages due to appliance failure;;Not specified;FALSE;The claim description indicates that water damage was caused by the failure of a Mitsubishi split unit appliance, which is reported to need a new control board. However, it fails to specify the source of the water damage or what specific items were affected by it. For a claim to be processed, it must detail how the appliance failure led to water damage and enumerate the specific areas or items damagedósuch as walls, floors, or personal propertyóresulting from the incident. The current description lacks these critical details, making it insufficient for moving forward with the claim.;;;;;;
HO10032363;Water Damage: Mold in the bathroom that has been getting worse over a period;2024-03-21T09:26:21.499000;mold;Bathroom;Bathroom;FALSE;The claim describes water damage resulting in mold growth in the bathroom, but it lacks crucial specifics necessary for proper assessment. Notably, the description does not identify the source of the water that allowed mold to develop, whether due to a plumbing issue, external factors, or moisture accumulation from other causes. Furthermore, the description fails to detail what materials or areas have been affected by the water damage beyond the mold. Essential details such as the extent of the damage and the exact origins of the water are missing, hindering the ability to evaluate liability and coverage adequately.;;;;;;
HO10032420;Water Damage due to Plumbing System: INSURED NOTICED DARK SPOTS IN THE DOWNSTAIRS BATHROOM AND WAS TOLD THERE WAS MOISTURE BEHIND THE BATHROOM TILES IN THE TENANT UNIT ABOVE.  INSURED CALLED A PLUMBER WHO ADVISED THAT A MOLD INSPECTOR BE CALLED.  PURELY GREEN ENVIRONMENT LLC WHO CONDUCTED AN INSPECTION AND WILL BE SPENDING A REPORT WITHIN A WEEK OF THE INSPECTION;2024-03-24T11:46:11.506000;water damage due to plumbing system;bathroom tiles;downstairs bathroom;TRUE;The claim description clearly depicts a water damage scenario originating from plumbing issues, specifically detailing dark spots in the downstairs bathroom linked to moisture behind the tiles of the tenant unit above. The insured's proactive steps, including consulting a plumber who recommended calling a mold inspector and engaging Purely Green Environment LLC for a comprehensive inspection, illustrate an appropriate recognition of the severity of the issue. Thus, the provided information establishes a clear source of water and the resulting damage, fulfilling the requirements to proceed with the claim.;Homeowners-3-Special-Form_HO0003_201105.pdf, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 9, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 2, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 3;Coverage A, Covered by Endorsement;927024;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $927,024 for direct physical loss caused by an accidental discharge of water from within a plumbing system per HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Property Coverages, Exception to Exclusion c.(6) (Page 10). The resulting mold damage hidden within walls is covered under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Exclusions, Exclusion c.(5) exception (Page 9). Coverage for repeated or hidden seepage and ensuing mold remediation is further provided by HO 05 38 05 11 Limited Fungi, Wet or Dry Rot, or Bacteria Coverage ñ Massachusetts, Section I A.2.c.(5) replacement of the seepage exclusion (Page 2) and Section I E.13 Additional Coverage for ìFungiî, Wet or Dry Rot, or Bacteria (Page 3).;TRUE
HO10032428;Water Damage: Pinhole leak in pipe in semi finished basement by their washer and dryer;2024-03-25T08:47:05.061000;water damage due to plumbing system;;Semi-finished basement by the washer and dryer;TRUE;The claim description indicates that there is water damage due to a pinhole leak in a pipe located in a semi-finished basement near the washer and dryer. This provides clear and sufficient details regarding the source of water (the pinhole leak) and the affected area (the semi-finished basement). The detailed identification of both the source and the specific location of the damage meets the necessary criteria for proceeding with the claim, validating its information content and relevance to the case assessment process.;Homeowners-5-Comprehensive-Form_HO0005_201105.pdf;Homeowners-5-Comprehensive-Form_HO0005_201105.pdf - page 8, Homeowners-5-Comprehensive-Form_HO0005_201105.pdf - page 11;Coverage A;379851;This claim is Covered under Coverage A - Dwelling up to the policy limit of $379,851 under the HO 00 05 05 11 Homeowners ñ Comprehensive Form. Section I ñ Perils Insured Against, k. ìAccidental Discharge Or Overflow Of Water Or Steamî (page 8) defines the peril as accidental discharge of water from within a plumbing system on the residence premises. Section I ñ Exclusions, Exception to Exclusion B.2.e (page 11) explicitly removes the exclusion for such accidental discharges, providing coverage for ensuing property damage. The water damage from the pinhole leak within the basement plumbing system is an insured loss under these provisions.;TRUE
HO10032454;Water Damage: Water damage, from Ice Maker Line in refrigerator, appears to have caused hidden mold to downstairs finished basement;2024-03-25T15:18:49.285000;water damages due to appliance failure;downstairs finished basement;downstairs finished basement;TRUE;The claim description specifies that water damage occurred from the ice maker line in the refrigerator, leading to hidden mold in the downstairs finished basement. This clearly identifies the source of water (ice maker line) and details the damage caused (hidden mold in the finished basement), meeting the requirements for a valid claim description as stated in the guidelines. All decision outcomes consistently recognize these elements, supporting the validity of this claim.;Homeowners-5-Comprehensive-Form_HO0005_201105.pdf, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowners-5-Comprehensive-Form_HO0005_201105.pdf - page 10, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 3;Coverage A, Covered by Endorsement;728576;This claim is Covered under Coverage A ñ Dwelling up to the $728,576 limit for water damage from an accidental discharge of water from a household appliance per HO 00 05 05 11 Homeowners ñ Comprehensive Form, Section I ñ Perils Insured Against, k.(1) (page 10). The hidden mold damage is covered because mold, fungus or wet rot is excepted from exclusion when hidden within walls, ceilings or floors per Section I ñ Perils Insured Against, k.(2)(d) (page 10). Furthermore, Additional Coverage 13 ìFungiî, Wet or Dry Rot, Or Bacteria under the HO 05 38 05 11 Limited Fungi, Wet or Dry Rot, Or Bacteria Coverage ñ Massachusetts endorsement (page 3) provides coverage for both the physical loss caused by fungi and the cost to remove fungi up to the endorsement limit.;TRUE
HO10032455;Water Damage: Tauro was away for a few days, upon his arrival, Tauro noticed there was water under the kitchen sink cabinet, coming from the 2nd floor (2 bedroom family home)  The ceiling was damaged and water all over the floor due to the pipe being cracked.;2024-03-25T15:24:28.666000;water damage due to plumbing system;Ceiling, Floor;Under the kitchen sink cabinet on the second floor;TRUE;The claim description specifies that water damaged the ceiling and floor beneath the kitchen sink due to a cracked pipe located on the second floor. The clear identification of the source of water as the cracked pipe and the specified damages supports the validity of the claim description, meeting the requirements needed to proceed.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 6, Homeowners-3-Special-Form_HO0003_201105.pdf - page 11;Coverage A;934510;This claim is Covered under Coverage A - Dwelling up to the policy limit of $934,510. Under HO 00 03 05 11 Homeowners 3 Special Form Section I ñ Perils Insured Against, Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steamî provides coverage for direct physical loss caused by the sudden and accidental discharge of water from within a plumbing system on the residence premises (Homeowners 3 Special Form HO 00 03 05 11, Section I.A.12, p. 11). Section I ñ Exclusion A.3.d expressly states that paragraphs a. and c. of the water exclusion do not apply to loss by water covered under Peril 12 (Homeowners 3 Special Form HO 00 03 05 11, Section I.A.3.d, p. 11), confirming that ensuing damage to the ceiling and kitchen floor from a cracked pipe is insured.;TRUE
HO10032568;Water Damage: Lost power-Rain pvc pipe Power out out,;2024-03-29T16:34:09.683000;water damage;;;FALSE;The claim description states 'Water Damage: Lost power-Rain pvc pipe Power out out,' which suggests some connection to water damage due to rain and a PVC pipe. However, the description lacks critical details about the origin of the water and the specific property that sustained damage. It fails to clarify how the rain and potential pipe issues resulted in water damage or what exactly was harmed, such as structural elements or personal property. Clarity and specificity about the source and extent of the damage are essential for a valid claim, which this description does not fulfill.;;;;;;
HO10032574;Water Damage: Toilet was overflowing and we did not know it;2024-03-30T10:09:00.412000;water damage due to plumbing system;;Bathroom;FALSE;The claim description states 'Water Damage: Toilet was overflowing and we did not know it.' While it clearly identifies the source of water as an overflowing toilet, it lacks critical information regarding what was damaged as a result. To effectively assess the claim, details specifying the areas or items specifically affectedósuch as flooring, walls, or personal propertyóare essential. Without this information, the claim cannot adequately fulfill the requirements for processing and validation.;;;;;;
HO10032617;Water Damage: Due to heavy rain, water went through the roof and came into the ceiling in the house. A section of the ceiling(sheet rock) between 5-10 feet collapsed in Connolly's bedroom.;2024-04-01T13:49:20.446000;water damage;ceiling drywall;Connolly's bedroom;TRUE;The claim description indicates that water damage resulted from heavy rain, which allowed water to penetrate through the roof and into the ceiling of the house. This incident caused a section of the sheetrock ceiling, approximately 5-10 feet in size, to collapse in Connolly's bedroom. The source of the water (heavy rain) is clearly identified, along with the resulting damage (collapsed section of the ceiling). Therefore, the provided information is sufficient to proceed with the claim assessment.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 9, Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, Homeowners-3-Special-Form_HO0003_201105.pdf - page 7;Coverage A;368047;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $368,047 under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Property Coverages A.1 (We insure against direct physical loss to property described in Coverages A and B, page 9). Rainwater intrusion through a roof opening is not excluded by Section I ñ Exclusions A.3 Water (which applies only to flood, surface water, sewer backup, or subterranean water, page 12), and the abrupt collapse of the sheet?rock ceiling is specifically covered under Additional Coverage ñ Collapse (Section I ñ Property Coverages E.8.d.(5), Weight of rain which collects on a roof, page 7).;TRUE
HO10032714;Water Damage: Water damage in basement ceiling. Water was dripping from pipes in ceiling. Plumber determined that the dryer vent was the cause and perhaps with the recent rain & wind it could have contributed to the cause. The fix was to re-route the dryer vent through a different part of the house. Damage caused is water staining on the ceiling and the need to re-route the vent.;2024-04-04T09:50:35.904000;water damages due to appliance failure;basement ceiling drywall;basement ceiling;TRUE;The claim describes water damage in the basement ceiling caused by dripping from pipes, with the plumber identifying the source as the dryer vent. Additionally, it notes that recent rain and wind may have contributed to the issue. The damage reported includes water staining on the ceiling and the need to re-route the dryer vent. The description clearly outlines both the cause of the water and the specific damage incurred, meeting the necessary criteria for proceeding with the claim.;Homeowners-3-Special-Form_HO0003_201105.pdf, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 11, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 2;;0;This claim is Excluded under Section I ñ Exclusions of the Homeowners 3 Special Form HO 00 03 05 11. The Massachusetts Limited Fungi, Wet or Dry Rot, or Bacteria Coverage ñ Massachusetts endorsement HO 05 38 05 11, Section I.A.2.c.(5) expressly excludes loss ìcaused by constant or repeated seepage or leakage of water or the presence or condensation of humidity, moisture or vapor, over a period of weeks, months or years.î In addition, HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Exclusions, C.2.c.(6)(b) excludes loss caused by ìmechanical breakdown, latent defect, inherent vice,î which applies to the misrouted dryer vent system that led to recurring condensation and ceiling staining. Finally, Peril 12ís coverage for accidental discharge does not apply to continuous moisture intrusion or to loss to the appliance or similar fixture from which the water escaped (Section I ñ Perils Insured Against, 12.c, p. 11).;FALSE
HO10032800;Water Damage: Roof has been leaking since last year . The first floor bathroom and second floor bathroom is leaking as well as the basement roof is leaking. Roof is damaged;2024-04-05T11:51:28.428000;water damage;roof, first floor bathroom, second floor bathroom, basement;Roof and interior areas (first-floor bathroom, second-floor bathroom, and basement);TRUE;The claim description provides a clear source of water damageóspecifically, a leaking roof that has been an issue since last year. It details the areas affected by the leak, namely the first floor bathroom, second floor bathroom, and basement, all of which indicate significant water damage. The description meets the necessary criteria for proceeding with the claim as it contains both the origin of the leak and the damages that have occurred.;HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf, Homeowners-3-Special-Form_HO0003_201105.pdf;HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 2, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10;;434000;This claim is Excluded under Section I ñ Exclusions A.3.c.(6)(a) of the HO 00 03 05 11 Homeowners 3 Special Form (page 10) as the roof deterioration constitutes wear and tear, and under Section I.A.2.c.(5) of the HO 05 38 05 11 Limited Fungi, Wet or Dry Rot, or Bacteria Coverage Endorsement (page 2) because the water damage resulted from constant or repeated seepage known to the insured over a period of months.;FALSE
HO10032823;Water Damage: Insured is having upstairs bathroom redone and advised there is water damage in the subfloor.;2024-04-05T15:17:14.557000;water damage;subfloor;upstairs bathroom;FALSE;The claim description indicates water damage in the subfloor of an upstairs bathroom, suggesting that there is an issue related to the ongoing renovations. However, it lacks crucial details about the source of the water causing the damage and does not specify what specific components were affected beyond the subfloor. Without identifying how the water entered (whether through leaks, overflow, etc.) and what exactly was damaged, it fails to meet the necessary standards for proceeding with the claim. For a valid and actionable claim, clarity on both the water source and the extent of the damages is essential.;;;;;;
HO10032826;Water Damage: Noticed water dripping in the house from the top of the bay window in the dining room during heavy rain. Called contractor to check out the source of the leak and water damage was found behind the siding of the house leading to rotting of the wood behind the clapboards.;2024-04-05T16:07:12.980000;water damage;exterior siding, wood sheathing;bay window in the dining room;TRUE;The claim description indicates that water damage was observed due to water dripping from the top of the bay window in the dining room during heavy rain. It specifies that the water damage was found behind the siding, causing rotting of the wood behind the clapboards. This clearly identifies both the source of the water (the bay window) and the resultant damage (wood rot), aligning perfectly with the established criteria for valid claim descriptions in property damage insurance.;HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 2;Coverage A, Covered by Endorsement;763916;This claim is Covered under Coverage A ñ Dwelling pursuant to the Limited Fungi, Wet or Dry Rot, or Bacteria Coverage Endorsement (HO 05 38 05 11 ñ Massachusetts), which replaces the mold, wet rot and dry rot exclusions in Section I ñ Perils Insured Against, Paragraphs 2.c.(5) and 2.c.(6)(c), reinstating coverage for constant or repeated water seepage that is hidden and unknown to the insured. Here, water seeped behind the dining room bay window siding over a period of weeks or months, the rot was concealed behind the clapboards and unknown to the insured until discovered by the contractor, satisfying the endorsementís conditions for coverage.;TRUE
HO10032934;Water Damage: Wind and rain caused damage. came through three skylights causing water damage to wood.;2024-04-09T14:20:33.681000;environmental;wood;roof skylights;TRUE;The claim description outlines water damage caused by wind and rain entering through three skylights, which resulted in damage to wood. This description meets the requirements as it clearly provides both the source of water (wind and rain) and specifies the affected material (wood). The details regarding how the water entered and what was damaged are consistent across all evaluations, confirming the validity of the claim without any ambiguities.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 9, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 11;Coverage A;478194;This claim is Covered under Coverage A ñ Dwelling up to the $478,194 limit under the HO 00 03 05 11 Homeowners 3 Special Form. Section I ñ Property Coverages A.1 (page 9) provides open?perils coverage for direct physical loss to the dwelling and attached structures, including skylights. Section I ñ Perils Insured Against B.2 Windstorm Or Hail (page 10) confirms that rain entering through openings caused by the direct force of wind, such as damaged skylights, is a covered loss. Section I ñ Exclusions A.3 Water (page 11) clarifies that the water exclusion for flood, surface water, sewer backup, and groundwater does not apply to water loss covered under a named peril, including windstorm?driven rain intrusion.;TRUE
HO10033030;Water Damage: During heavy rainstorm water leaking in through ceiling/walls causing water stains;2024-04-12T15:47:59.120000;water damage;ceiling, walls;interior ceiling and walls;TRUE;The claim description clearly identifies the source of the water damage as 'heavy rainstorm' and specifies that the water is leaking through the 'ceiling and walls', resulting in 'water stains.' This information is comprehensive and meets the criteria for a valid claim description, providing clear insight into both the cause and the affected areas of the property.;Unit-Owners-Coverage-A_HO1732_201702.pdf, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf;Unit-Owners-Coverage-A_HO1732_201702.pdf - page 1, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 10;Coverage A;10000;This claim is Covered under Coverage A ñ Dwelling up to the $10,000 limit. Under the Unit-Owners Coverage A Special Coverage Form (HO 17 32 02 17), Coverage A is written on an open-perils basis insuring ìdirect physical loss to property described in Coverage A unless the loss is excluded in Section I ñ Exclusionsî (Section I ñ Coverage A Insuring Agreement, p. 1). The only water exclusions in the underlying Homeowners 6 Unit-Owners Form (HO 00 06 05 11) Section I ñ Exclusions 3.añc (p. 10) apply to flood, surface water, sewer backup or sump discharge. Rainwater leaking in through ceilings or walls from a heavy storm is neither flood nor groundwater and thus is not excluded. Therefore, the resulting ceiling and wall damage is a covered direct physical loss under Coverage A up to the policy limit.;TRUE
HO10033082;Water Damage: WATER FROM PLUMBING PIPE FROM 2ND FLOOR BATHROOM FLOODED THE BASEMENT AND CAUSED DAMAGE TO FINISHED BASEMENT. WATER IS MITIGATED AND INSURED TOOK DRYWALL DOWN TO DRY IT BUT HAS NOT SPRAYED FOR MOLD;2024-04-16T12:44:43.157000;water damage due to plumbing system;finished basement, drywall;basement;TRUE;The claim description outlines that water damage occurred as a result of a plumbing pipe leak from the second floor bathroom, causing flooding in the basement which in turn damaged the finished basement. It specifies the source of the water (the plumbing pipe) and the affected area (the finished basement), thereby fulfilling the requirements for a valid claim description. Additionally, it highlights the insured's actions to mitigate damage by removing drywall, thus demonstrating proactive measures taken to address the incident. This comprehensive account provides sufficient detail to proceed with the claim assessment.;Homeowners-3-Special-Form_HO0003_201105.pdf, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, Homeowners-3-Special-Form_HO0003_201105.pdf - page 6, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 2;Coverage A;446598;This claim is Covered under Coverage A - Dwelling up to the policy limit of $446,598 under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Perils Insured Against, Exception to c.(6), page 10, which insures against sudden and accidental discharge or overflow of water from within a plumbing system on the residence premises. The Section I ñ Exclusions, A.3, page 12, water exclusion does not apply to this event due to the exception for plumbing discharges. The insuredís removal of drywall to mitigate further damage is covered under Additional Coverage 2 ñ Reasonable Repairs, Section I, page 6. Any mold or bacteria remediation arising directly from this covered water loss is insured under the HO 05 38 05 11 Limited Fungi, Wet or Dry Rot, or Bacteria Coverage Endorsement.;TRUE
HO10033119;Water Damage: Valchuis went down to basement at around 4 am and noticed that the is a flood of water. Hot water heater burst from neighbors house causing a flood in their house to Valvhuis;2024-04-17T14:33:31.592000;water damages due to appliance failure;;Basement;TRUE;The claim describes a water damage incident where Valchuis observed flooding in the basement, attributed to a hot water heater burst from the neighbor's house, which is a clear source of water damage. The effect of this incident is evident as it specifies the extent of the damage (the basement of Valchuisís property). This description meets necessary claim registration criteria, indicating both the source of the water and the damaged area in need of assessment.;Unit-Owners-Coverage-A_HO1732_201702.pdf, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf;Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9;;0;"This claim is Excluded under HO 17 32 02 17 Unit-Owners Coverage A Special Coverage Form, Section I ñ Exception to c.(6) on page 2, which limits coverage for accidental discharge or overflow from a household appliance to those appliances located on the insuredís own residence premises; and under HO 00 06 05 11 Homeowners 6 Unit-Owners Form, Section I ñ Peril 12.b.(4) on page 9, which expressly excludes loss caused by accidental discharge or overflow that occurs away from the building where the residence premises is located.";FALSE
HO10033186;Water Damage: Water leaking into basement.;2024-04-22T09:04:51.702000;water damage;;basement;FALSE;The claim description states 'Water Damage: Water leaking into basement.' However, it is insufficient as it does not provide critical details regarding the source of the water leak and the specifics of what was damaged. The claim must specify how the water is entering the basement, such as from a pipe burst or flooding, and identify what was impacted, like walls or flooring. This lack of information makes it problematic to proceed with the claim effectively.;;;;;;
HO10033255;Water Damage: has water damage to ceiling in kitchen and bathroom area , ceiling, kitchen cabinets and floor damage. unknown source of water;2024-04-24T12:24:17.268000;water damage;ceiling, kitchen cabinets, floor;kitchen and bathroom area;FALSE;The claim description outlines the damages caused by water to the ceiling in both the kitchen and bathroom areas, along with damage to the kitchen cabinets and flooring. However, it lacks a critical element: the source of the water, which is described as 'unknown'. Without identification of how the water penetrated these areas, it is challenging to assess the cause of the damage or the potential liability and coverage implications. The absence of a defined source is a significant gap in the claim description, which directly impacts the ability to proceed effectively with the claim assessment.;;;;;;
HO10033283;Water Damage: sinkhole in driveway needed to be fixed;2024-04-26T10:57:49.098000;other - sinkhole;;driveway;FALSE;The claim description states that there is 'water damage' due to a 'sinkhole in driveway that needed to be fixed.' However, it lacks necessary details regarding the source of the water leading to the damage and what specific property or items were affected by this water damage. Without clarifying how the sinkhole resulted in water damage or specifying what had been damaged, it is difficult to assess the overall nature and extent of the claim, which is essential for the claims process.;;;;;;
HO10033302;Water Damage: Electrical service damage.;2024-04-27T14:33:24.351000;water damage;electrical service;;FALSE;The claim description mentions 'Water Damage: Electrical service damage,' but it lacks critical details such as the source of the water that caused this damage and specifics about what electrical components were affected. For a claim to be processed, it needs to specify how the water came into contact with the electrical service and detail the nature of the damage incurred. Currently, the claim does not meet these standards as it leaves out essential context, making it insufficient to proceed with the claim evaluation.;;;;;;
HO10033332;Water Damage: During a storm shingles were loosened, and caused water damage to a bedroom ceiling;2024-04-29T14:57:21.813000;water damage;bedroom ceiling;bedroom ceiling;TRUE;The claim description indicates that water damage occurred due to loosened shingles from a storm, which directly connects the source of water to the incident and specifies the affected area, namely the bedroom ceiling. This clear linkage of events illustrates the source and impact needed to proceed with the claim, aligning well with the standards outlined for valid claims.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 9, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, Homeowners-3-Special-Form_HO0003_201105.pdf - page 13;Coverage A;262257;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $262,257. Under HO 00 03 05 11 Homeowners 3 Special Form Section I ñ Property Coverages A.1 (page 9), the policy provides open-perils coverage for direct physical loss to the dwelling. Exclusion A.3 ñ Water (page 13) excludes flood, surface water, sewer or sump discharge, and groundwater, but does not apply to rainwater entering through a storm-created roof opening. Moreover, Section I ñ Perils Insured Against B.2 Windstorm or Hail (page 10) expressly covers water damage when wind-driven rain enters through an opening first created by wind damage.;TRUE
